Fundamentos de Administración C;;;;C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S2;S2;S2;;;;;;;;;;;;;;;;;;;;;;;;;
Gestión de RRHH A;;;;;;;;;;;;;;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestión de RRHH B;;;;;;;;;;;;;;;;;;S2;S2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestión de RRHH C;;;;;;;;;;;;;;;;;;;;;;;;;24;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestión de RRHH D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;24;;;;;;;;;;;;;;;;;;;;
Gestión de RRHH E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S2;S2;;;;;;;;;;;;;;;;;;
Ingeniería económica y evaluación Proyectos A;;;;;;T2;;;;;;;;;;;;;;11;11;;;;;;;;;;;;;;;;;;;;;11;11;;;;;;;;;;;;;;;;;;;;;;;
Ingeniería económica y evaluación Proyectos B;;;;;;;;22;22;;;12;;;;;;;;;;;;;;;;;;S2;S2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ingeniería económica y evaluación Proyectos C;;;;;;;;104;104;;;;;;;;;;;;;;;;;;;;;104;104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ingeniería económica y evaluación Proyectos D;;;;;;;;;;;;;;;;;;;;105;105;;;;;;;;;;;;;;;;;;;;;105;105;;;;;;;;;;;;;;;;;;;;;;;
Gestión de la Innovación y Emprendimiento. A;;;;;;;;102;102;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestión de la Innovación y Emprendimiento. B;;;;;;;;103;103;103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestión de la Innovación y Emprendimiento. C;;;;;;;;E1;E1;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestión de la Innovación y Emprendimiento. D;;;;;;;;E2;E2;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
